category,subcategory,subsubcategory,subsubsubcategory,unique_id,url
peinture,peinture-interieure,peinture-interieure-blanche,,cat_id_2078.cat,https://www.castorama.fr/peinture/peinture-interieure/peinture-interieure-blanche/cat_id_2078.cat
maison-connectee-domotique-et-objet-connecte,assistant-vocal-accessoire-tv-et-multimedia-connecte,chargeur-et-cable-usb,,cat_id_0001097.cat,https://www.castorama.fr/maison-connectee-domotique-et-objet-connecte/assistant-vocal-accessoire-tv-et-multimedia-connecte/chargeur-et-cable-usb/cat_id_0001097.cat
electricite,antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique,cable-et-connectique,cable-et-connectique-multimedia,cat_id_5383.cat,https://www.castorama.fr/electricite/antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique/cable-et-connectique/cable-et-connectique-multimedia/cat_id_5383.cat
electricite,antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique,cable-et-connectique,cable-et-connectique-de-telephone,cat_id_5384.cat,https://www.castorama.fr/electricite/antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique/cable-et-connectique/cable-et-connectique-de-telephone/cat_id_5384.cat
electricite,antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique,cable-et-connectique,cable-et-connectique-informatique,cat_id_3899.cat,https://www.castorama.fr/electricite/antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique/cable-et-connectique/cable-et-connectique-informatique/cat_id_3899.cat
electricite,antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique,cable-et-connectique,cable-et-connectique-tv,cat_id_3752.cat,https://www.castorama.fr/electricite/antenne-tv-decodeur-tnt-prise-de-telephone-et-informatique/cable-et-connectique/cable-et-connectique-tv/cat_id_3752.cat
peinture,peinture-exterieure,lasure-et-traitement-exterieur,traitement-du-bois-exterieur,cat_id_2870.cat,https://www.castorama.fr/peinture/peinture-exterieure/lasure-et-traitement-exterieur/traitement-du-bois-exterieur/cat_id_2870.cat
quincaillerie,securite-boites-aux-lettres,boite-aux-lettres-et-accessoire,,cat_id_2892.cat,https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/boite-aux-lettres-et-accessoire/cat_id_2892.cat
quincaillerie,quincaillerie-de-meuble,serrure-de-meuble,,cat_id_2974.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/serrure-de-meuble/cat_id_2974.cat
quincaillerie,quincaillerie-du-batiment,signalisation,chiffre-et-lettre,cat_id_2960.cat,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/signalisation/chiffre-et-lettre/cat_id_2960.cat
quincaillerie,fixation-et-quincaillerie-d-assemblage,patte-de-fixation,,cat_id_2957.cat,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/patte-de-fixation/cat_id_2957.cat
quincaillerie,quincaillerie-de-meuble,fiche-d-ameublement,,cat_id_2970.cat,https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/fiche-d-ameublement/cat_id_2970.cat
jardin-et-terrasse,cloture-panneau-grillage-brise-vue,grillage,grillage-special-animaux-arbuste-barbele,cat_id_4159.cat,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/grillage/grillage-special-animaux-arbuste-barbele/cat_id_4159.cat
jardin-et-terrasse,parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage,pergola-et-arceau,,cat_id_1959.cat,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/pergola-et-arceau/cat_id_1959.cat
quincaillerie,fixation-et-quincaillerie-d-assemblage,crochet,,cat_id_2953.cat,https://www.castorama.fr/quincaillerie/fixation-et-quincaillerie-d-assemblage/crochet/cat_id_2953.cat
quincaillerie,vis-boulon-cheville-clou,crochet-piton-gond-a-visser,,cat_id_5134.cat,https://www.castorama.fr/quincaillerie/vis-boulon-cheville-clou/crochet-piton-gond-a-visser/cat_id_5134.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,accessoire-luminaire-exterieur,,cat_id_0001653.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/accessoire-luminaire-exterieur/cat_id_0001653.cat
luminaire-et-eclairage,luminaire-et-eclairage-exterieur,nos-collections-luminaires-exterieurs,,cat_id_5998.cat,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/nos-collections-luminaires-exterieurs/cat_id_5998.cat
jardin-et-terrasse,barbecue-et-plancha,barbecue,barbecue-electrique,cat_id_0001239.cat,https://www.castorama.fr/jardin-et-terrasse/barbecue-et-plancha/barbecue/barbecue-electrique/cat_id_0001239.cat
jardin-et-terrasse,balancoire-trampoline-et-toboggan,bac-a-sable,,cat_id_1279.cat,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/bac-a-sable/cat_id_1279.cat
jardin-et-terrasse,terrasse-et-sol-exterieur,margelle-de-piscine,,cat_id_5080.cat,https://www.castorama.fr/jardin-et-terrasse/terrasse-et-sol-exterieur/margelle-de-piscine/cat_id_5080.cat
jardin-et-terrasse,piscine-et-spa,robot-et-nettoyage-de-piscine,,cat_id_4363.cat,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/robot-et-nettoyage-de-piscine/cat_id_4363.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,balancelle-de-jardin-et-hamac,,cat_id_0005965.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/balancelle-de-jardin-et-hamac/cat_id_0005965.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,parasol-chauffant-et-brasero,,cat_id_1568.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/parasol-chauffant-et-brasero/cat_id_1568.cat
quincaillerie,quincaillerie-du-batiment,signalisation,barriere-de-parking,cat_id_2959.cat,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/signalisation/barriere-de-parking/cat_id_2959.cat
quincaillerie,quincaillerie-du-batiment,signalisation,plaque-de-signalisation-et-panneau-de-chantier,cat_id_2962.cat,https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/signalisation/plaque-de-signalisation-et-panneau-de-chantier/cat_id_2962.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,housse-de-salon-de-jardin-et-entretien,,cat_id_1520.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/housse-de-salon-de-jardin-et-entretien/cat_id_1520.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,coussin-tapis-de-sol-et-pouf-d-exterieur,,cat_id_1554.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/coussin-tapis-de-sol-et-pouf-d-exterieur/cat_id_1554.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,banc-de-jardin,,cat_id_1542.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/banc-de-jardin/cat_id_1542.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,bain-de-soleil-hamac-et-transat,,cat_id_1530.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/bain-de-soleil-hamac-et-transat/cat_id_1530.cat
jardin-et-terrasse,salon-de-jardin-table-chaise-et-fauteuil-de-jardin,salon-de-jardin,,cat_id_1572.cat,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/salon-de-jardin/cat_id_1572.cat
