unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3283491561091_CAFR.prd,outillage,compresseur-et-accessoire,accessoire-compresseur,cat_id_0001475.cat,Raccord fraise 1/4 mâle + écrou Mecafer,"6,90",https://www.castorama.fr/outillage/compresseur-et-accessoire/accessoire-compresseur/cat_id_0001475.cat/raccord-fraise-1-4-male-ecrou-mecafer/3283491561091_CAFR.prd
4046664139423_CAFR.prd,outillage,compresseur-et-accessoire,compresseur,cat_id_0001474.cat,Compresseur d'air Sheppach HC550TC 3 cylindres 100L 200W,539,https://www.castorama.fr/outillage/compresseur-et-accessoire/compresseur/cat_id_0001474.cat/compresseur-d-air-sheppach-hc550tc-3-cylindres-100l-200w/4046664139423_CAFR.prd
3660212500407_CAFR.prd,quincaillerie,securite-boites-aux-lettres,accessoire-pour-volet-fenetre-et-portail,cat_id_2879.cat,Capuchon pour trou ø10 marron Protecta,"3,90",https://www.castorama.fr/quincaillerie/securite-boites-aux-lettres/accessoire-pour-volet-fenetre-et-portail/cat_id_2879.cat/capuchon-pour-trou-10-marron-protecta/3660212500407_CAFR.prd
3342010099962_CAFR.prd,outillage,materiel-de-chantier,outils-du-macon,auge-et-seau,Outils de maçonnerie Ocai 10L 4 pièces,"13,50",https://www.castorama.fr/outillage/materiel-de-chantier/outils-du-macon/auge-et-seau/cat_id_1667.cat/outils-de-maconnerie-ocai-10l-4-pieces/3342010099962_CAFR.prd
3166720034057_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,balai-d-exterieur-balai-a-feuille-et-a-gazon,cat_id_3417.cat,Lave-pont nylon PP - BROSSERIE THOMAS - 3405,"10,32",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/balai-d-exterieur-balai-a-feuille-et-a-gazon/cat_id_3417.cat/departments/lave-pont-nylon-pp-brosserie-thomas-3405/3166720034057_CAFR.prd
5032227338937_CAFR.prd,jardin-et-terrasse,tondeuse-et-outil-motorise,huile-piece-de-rechange-et-accessoire-pour-outil-motorise,jerrican-d-essence-graisse-et-lubrifiant,Huile de Coupe WD-40 Specialist 250ml,"9,90",https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat/huile-de-coupe-wd-40-specialist-250ml/5032227338937_CAFR.prd
5905568540331_CAFR.prd,jardin-et-terrasse,outil-entretien-et-materiel-du-jardin,outil-combinable,cat_id_1398.cat,Râteau à feuilles 57cm Fiskars QuikFit™,"33,90",https://www.castorama.fr/jardin-et-terrasse/outil-entretien-et-materiel-du-jardin/outil-combinable/cat_id_1398.cat/rateau-a-feuilles-57cm-fiskars-quikfit-/5905568540331_CAFR.prd
3259040014370_CAFR.prd,droguerie-entretien-de-la-maison,entretien-cuisine-et-salle-de-bains,deboucheur,cat_id_550.cat,Déboucheur haute pression Atmos 1.5 m,"31,43",https://www.castorama.fr/droguerie-entretien-de-la-maison/entretien-cuisine-et-salle-de-bains/deboucheur/cat_id_550.cat/deboucheur-haute-pression-atmos-1-5-m/3259040014370_CAFR.prd
3549169137259_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,balai-brosse,cat_id_2849.cat,Brosse de bricolage économique Gerlon,"6,99",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/balai-brosse/cat_id_2849.cat/brosse-de-bricolage-economique-gerlon/3549169137259_CAFR.prd
3365000013205_CAFR.prd,droguerie-entretien-de-la-maison,accessoire-de-menage,eponge-serpillere-et-accessoire-de-lavage,cat_id_2666.cat,Serpillière gaufrée extra-blanche 50 x 100 cm,"4,79",https://www.castorama.fr/droguerie-entretien-de-la-maison/accessoire-de-menage/eponge-serpillere-et-accessoire-de-lavage/cat_id_2666.cat/serpilliere-gaufree-extra-blanche-50-x-100-cm/3365000013205_CAFR.prd
